Price,Miles,Year,Engine,Trim,Color,Miles Away
61417,5273,2014,A,Prestige,Scuba,359
59455,42,2015,B,Prestige,Black,348
55270,18,2014,A,PremiumPlus,Gray,273
53145,15,2014,B,Prestige,Gray,340
52000,5164,2014,B,Prestige,Black,333
51670,6339,2014,A,PremiumPlus,White,336
49888,14061,2014,A,PremiumPlus,Silver,340
48973,8,2014,B,PremiumPlus,Black,31
48725,10,2014,A,PremiumPlus,Red,196
48500,7000,2013,B,Prestige,White,248
47795,20,2014,C,PremiumPlus,Black,282
47605,5,2015,C,Premium,White,148
46300,30915,2014,C,PremiumPlus,White,12
44900,11527,2014,C,PremiumPlus,Black,12
43900,6029,2014,B,PremiumPlus,White,119
39990,18987,2013,C,PremiumPlus,Black,12
32994,38656,2011,C,PremiumPlus,White,12
32990,41199,2011,C,Premium,Black,21
30999,51337,2012,C,PremiumPlus,Gray,28
30950,34942,2011,C,Premium,Silver,55
29999,43949,2012,C,PremiumPlus,Black,90
29643,54129,2012,C,PremiumPlus,White,35
41990,34266,2012,B,Prestige,White,12
37990,28135,2012,C,PremiumPlus,Black,31
37981,24823,2012,C,PremiumPlus,Black,31
37900,34999,2011,B,Prestige,Black,119
36988,26198,2012,C,PremiumPlus,Silver,119
35500,36176,2011,B,PremiumPlus,Gray,21
33500,47000,2012,C,Premium,White,73
32994,38656,2011,C,PremiumPlus,White,12
32990,41199,2011,C,Premium,Black,12
30999,51337,2012,C,PremiumPlus,Gray,12
30950,34942,2011,C,Premium,Silver,19
29999,43949,2012,C,PremiumPlus,Black,12
29643,54129,2012,C,PremiumPlus,White,2
27990,56110,2010,B,PremiumPlus,Silver,12
27900,66005,2011,C,PremiumPlus,White,21
27364,65869,2012,C,Premium,Black,31
26994,61888,2012,C,PremiumPlus,White,13
33500,47000,2012,C,Premium,White,30
39743,39743,2014,C,Premium,Black,12
39988,25605,2013,C,PremiumPlus,Gray,107
39743,4892,2014,C,Premium,Black,12
